<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
10/9/2018,103110,103110,103110,103110
10/9/2018,103060,103060,103030,103030
10/9/2018,103010,103030,102970,102990
10/9/2018,102990,102990,102990,102990
10/9/2018,102980,102980,102980,102980
10/9/2018,102980,102980,102980,102980
10/9/2018,103020,103020,103020,103020
10/9/2018,103020,103120,103020,103120
10/9/2018,103100,103100,103100,103100
10/9/2018,103030,103030,103030,103030
10/9/2018,103060,103060,103060,103060
10/9/2018,103020,103020,103000,103000
10/9/2018,103000,103000,103000,103000
10/9/2018,103040,103040,103040,103040
10/9/2018,103040,103090,103040,103090
10/9/2018,103050,103050,103050,103050
10/9/2018,103100,103150,103100,103100
10/9/2018,103100,103100,103100,103100
10/9/2018,103120,103150,103120,103150
10/9/2018,103100,103120,103100,103100
10/9/2018,103130,103130,103130,103130
10/9/2018,103150,103150,103140,103140
10/9/2018,103150,103150,103150,103150
10/9/2018,103140,103140,103140,103140
10/9/2018,103100,103100,103100,103100
10/9/2018,103100,103100,103100,103100
10/9/2018,103060,103060,103060,103060
10/9/2018,103010,103010,103000,103000
10/9/2018,102970,102970,102960,102960
10/9/2018,102970,103030,102950,103030
10/9/2018,103020,103020,103020,103020
10/9/2018,103000,103000,103000,103000
10/9/2018,103030,103030,103030,103030
10/9/2018,103100,103100,103040,103040
10/9/2018,103100,103100,103090,103090
10/9/2018,103080,103080,103080,103080
10/9/2018,103080,103080,103080,103080
10/9/2018,103070,103070,103070,103070
10/9/2018,103040,103040,103030,103030
10/9/2018,103000,103020,103000,103020
10/9/2018,103000,103000,102980,102980
10/9/2018,103030,103030,103030,103030
10/9/2018,103020,103020,103020,103020
10/9/2018,103040,103040,103040,103040
10/9/2018,103050,103220,103050,103170
10/9/2018,103220,103220,103220,103220
10/9/2018,103220,103300,103150,103180
10/9/2018,103190,103190,103190,103190
10/9/2018,103150,103210,103150,103210
10/9/2018,103170,103170,103170,103170
10/9/2018,103170,103170,103170,103170
10/9/2018,103170,103170,103160,103170
10/9/2018,103170,103170,103170,103170
10/9/2018,103170,103170,103170,103170
10/9/2018,103290,103290,103230,103230
10/9/2018,103220,103220,103220,103220
10/9/2018,103190,103200,103190,103200
10/9/2018,103230,103230,103220,103220
10/9/2018,103180,103180,103180,103180
10/9/2018,103150,103150,103150,103150
10/9/2018,103150,103150,103150,103150
10/9/2018,103170,103170,103170,103170
10/9/2018,103160,103160,103160,103160
10/9/2018,103100,103100,103100,103100
10/9/2018,103100,103100,103100,103100
10/9/2018,103070,103070,103070,103070
10/9/2018,103100,103100,103100,103100
10/9/2018,103100,103100,103100,103100
10/9/2018,103100,103100,103100,103100
10/9/2018,103100,103100,103100,103100
10/9/2018,103080,103080,103080,103080
10/9/2018,103050,103050,103050,103050
10/9/2018,103040,103040,103040,103040
10/9/2018,103010,103010,103010,103010
10/9/2018,103060,103090,103060,103090
10/9/2018,103010,103010,103010,103010
10/9/2018,103050,103050,103050,103050
10/9/2018,103030,103030,103030,103030
10/9/2018,103050,103050,103050,103050
10/9/2018,103040,103040,103040,103040
10/9/2018,103110,103110,103090,103090
10/9/2018,103130,103140,103130,103140
10/9/2018,103100,103100,103100,103100
10/9/2018,103080,103080,103080,103080
10/9/2018,103000,103020,103000,103020
10/9/2018,103000,103000,103000,103000
10/9/2018,102960,103230,102680,102680
11/9/2018,103300,104000,103300,103730
11/9/2018,103740,103900,103740,103820
11/9/2018,103850,103960,103850,103960
11/9/2018,103920,103920,103780,103800
11/9/2018,103790,103860,103790,103860
11/9/2018,103880,103960,103780,103820
11/9/2018,103850,103880,103810,103880
11/9/2018,103890,103970,103890,103910
11/9/2018,103980,104000,103970,103990
11/9/2018,103980,104000,103980,103980
11/9/2018,104010,104040,104000,104010
11/9/2018,104010,104060,104010,104060
11/9/2018,104090,104100,104080,104100
11/9/2018,104100,104150,104080,104080
11/9/2018,104110,104430,104110,104310
11/9/2018,104310,104320,104250,104320
11/9/2018,104320,104340,104300,104310
11/9/2018,104270,104270,104200,104250
11/9/2018,104240,104240,104180,104180
11/9/2018,104160,104160,104030,104030
11/9/2018,104030,104110,104030,104090
11/9/2018,104100,104100,104100,104100
11/9/2018,104100,104100,104100,104100
11/9/2018,104120,104120,104090,104100
11/9/2018,104050,104050,104010,104010
11/9/2018,104000,104000,103810,103890
11/9/2018,103950,103970,103950,103960
11/9/2018,103970,104010,103970,104010
11/9/2018,104030,104060,104030,104060
11/9/2018,104050,104090,104050,104070
11/9/2018,104120,104200,104100,104180
11/9/2018,104130,104130,104120,104130
11/9/2018,104110,104110,104090,104090
11/9/2018,104090,104090,104090,104090
11/9/2018,104050,104050,104040,104040
11/9/2018,104010,104060,104010,104060
11/9/2018,104020,104020,103980,103980
11/9/2018,103980,103980,103960,103980
11/9/2018,104100,104100,104100,104100
11/9/2018,104080,104080,104080,104080
11/9/2018,104080,104080,104080,104080
11/9/2018,104080,104080,104070,104070
11/9/2018,104040,104100,104040,104100
11/9/2018,104110,104110,104050,104050
11/9/2018,104050,104110,104050,104110
11/9/2018,104160,104220,104160,104200
11/9/2018,104200,104200,104200,104200
11/9/2018,104210,104210,104200,104200
11/9/2018,104210,104300,104210,104300
11/9/2018,104270,104300,104270,104300
11/9/2018,104250,104310,104250,104310
11/9/2018,104290,104290,104290,104290
11/9/2018,104290,104300,104290,104300
11/9/2018,104270,104270,104270,104270
11/9/2018,104220,104230,104200,104200
11/9/2018,104190,104190,104140,104140
11/9/2018,104150,104170,104150,104170
11/9/2018,104250,104250,104210,104220
11/9/2018,104320,104320,104310,104310
11/9/2018,104350,104350,104350,104350
11/9/2018,104310,104310,104260,104260
11/9/2018,104260,104300,104260,104300
11/9/2018,104290,104290,104240,104240
11/9/2018,104250,104280,104250,104280
11/9/2018,104280,104280,104280,104280
11/9/2018,104310,104320,104300,104300
11/9/2018,104270,104270,104250,104250
11/9/2018,104250,104250,104230,104230
11/9/2018,104220,104220,104210,104210
11/9/2018,104250,104250,104250,104250
11/9/2018,104260,104310,104260,104310
11/9/2018,104310,104590,104310,104540
11/9/2018,104560,104700,104560,104590
11/9/2018,104590,104600,104520,104520
11/9/2018,104570,104580,104570,104580
11/9/2018,104550,104550,104550,104550
11/9/2018,104510,104510,104490,104490
11/9/2018,104530,104560,104530,104560
11/9/2018,104590,104640,104590,104590
11/9/2018,104600,104630,104600,104630
11/9/2018,104610,104640,104540,104540
11/9/2018,104570,104570,104550,104550
11/9/2018,104570,104570,104570,104570
11/9/2018,104540,104550,104540,104550
11/9/2018,104560,104570,104540,104570
11/9/2018,104570,104570,104540,104550
11/9/2018,104520,104520,104520,104520
11/9/2018,104550,104580,104540,104580
11/9/2018,104570,104570,104570,104570
11/9/2018,104580,104580,104550,104550
11/9/2018,104560,104560,104490,104550
11/9/2018,104550,104550,104550,104550
11/9/2018,104520,104520,104520,104520
11/9/2018,104510,104510,104500,104500
11/9/2018,104530,104530,104490,104490
11/9/2018,104480,104490,104430,104440
11/9/2018,104450,104450,104420,104450
11/9/2018,104450,104450,104450,104450
11/9/2018,104470,104470,104470,104470
11/9/2018,104420,104450,104420,104450
11/9/2018,104400,104440,104400,104440
11/9/2018,104450,104450,104410,104410
11/9/2018,104390,104410,104390,104410
11/9/2018,104350,104350,104340,104340
11/9/2018,104340,104340,104300,104300
11/9/2018,104310,104310,104230,104230
11/9/2018,104230,104270,104230,104270
11/9/2018,104270,104290,104270,104290
11/9/2018,104280,104330,104270,104330
11/9/2018,104340,104340,104340,104340
11/9/2018,104330,104350,104320,104320
11/9/2018,104340,104340,104340,104340
11/9/2018,104330,104330,104330,104330
11/9/2018,104340,104340,104340,104340
11/9/2018,104340,104360,104340,104360
11/9/2018,104300,104300,104300,104300
11/9/2018,104280,104280,104280,104280
11/9/2018,104260,104260,104250,104250
11/9/2018,104250,104260,104230,104240
11/9/2018,104240,104240,104210,104210
11/9/2018,104210,104240,103970,104000
11/9/2018,104000,104000,103900,103990
11/9/2018,103970,104000,103970,104000
11/9/2018,103940,103940,103930,103930
11/9/2018,103900,103900,103790,103790
11/9/2018,103770,103820,103760,103810
11/9/2018,103820,103850,103820,103820
11/9/2018,103850,103870,103850,103870
11/9/2018,103860,103910,103850,103910
11/9/2018,103910,103950,103910,103950
11/9/2018,103900,103900,103900,103900
11/9/2018,103930,103930,103930,103930
11/9/2018,103960,103960,103930,103930
11/9/2018,103960,103960,103960,103960
11/9/2018,103990,104000,103990,104000
11/9/2018,103940,103940,103900,103900
11/9/2018,103880,103880,103880,103880
11/9/2018,103870,103880,103870,103870
11/9/2018,103830,103830,103830,103830
11/9/2018,103910,103920,103860,103860
11/9/2018,103820,103860,103820,103860
11/9/2018,103870,103870,103870,103870
11/9/2018,103840,103840,103790,103790
11/9/2018,103760,103770,103760,103770
11/9/2018,103750,103750,103700,103720
11/9/2018,103710,103710,103690,103700
11/9/2018,103660,103660,103510,103510
11/9/2018,103560,103620,103540,103620
11/9/2018,103560,103600,103550,103600
11/9/2018,103630,103630,103630,103630
11/9/2018,103600,103600,103600,103600
11/9/2018,103590,103590,103580,103580
11/9/2018,103550,103570,103550,103570
11/9/2018,103600,103620,103600,103620
11/9/2018,103610,103620,103610,103610
11/9/2018,103610,103610,103610,103610
11/9/2018,103600,103600,103600,103600
11/9/2018,103620,103640,103620,103640
11/9/2018,103630,103630,103630,103630
11/9/2018,103630,103630,103630,103630
11/9/2018,103660,103660,103660,103660
11/9/2018,103700,103700,103700,103700
11/9/2018,103690,103690,103690,103690
11/9/2018,103640,103640,103640,103640
11/9/2018,103700,103860,103700,103860
11/9/2018,103870,103900,103870,103900
11/9/2018,103950,103950,103900,103900
11/9/2018,103920,103920,103920,103920
11/9/2018,103930,103930,103930,103930
11/9/2018,103880,103880,103880,103880
11/9/2018,103880,103900,103880,103900
11/9/2018,103860,103860,103860,103860
11/9/2018,103860,103860,103860,103860
11/9/2018,103910,103930,103910,103930
11/9/2018,103920,103930,103920,103930
11/9/2018,103900,103900,103900,103900
11/9/2018,103960,103970,103880,103880
11/9/2018,103900,103900,103900,103900
11/9/2018,103900,103900,103900,103900
11/9/2018,103870,103870,103860,103860
11/9/2018,103860,103860,103830,103830
11/9/2018,103820,103850,103820,103850
11/9/2018,103860,103860,103860,103860
11/9/2018,103840,103840,103840,103840
11/9/2018,103830,103830,103830,103830
11/9/2018,103860,103860,103860,103860
11/9/2018,103830,103830,103820,103820
11/9/2018,103750,103750,103750,103750
11/9/2018,103730,103730,103730,103730
11/9/2018,103770,103790,103770,103790
11/9/2018,103780,103800,103780,103800
11/9/2018,103840,103840,103840,103840
11/9/2018,103780,103780,103780,103780
11/9/2018,103810,103810,103810,103810
11/9/2018,103800,103800,103800,103800
11/9/2018,103780,103780,103780,103780
11/9/2018,103750,103750,103750,103750
11/9/2018,103730,103730,103730,103730
11/9/2018,103740,103810,103740,103800
11/9/2018,103830,103830,103830,103830
11/9/2018,103790,103790,103790,103790
11/9/2018,103700,103700,103690,103690
11/9/2018,103650,103740,103650,103740
11/9/2018,103690,103700,103690,103690
11/9/2018,103620,103650,103590,103650
11/9/2018,103700,103700,103700,103700
11/9/2018,103690,103690,103650,103650
11/9/2018,103680,103680,103660,103660
11/9/2018,103660,103660,103660,103660
11/9/2018,103630,103630,103630,103630
11/9/2018,103580,103580,103390,103410
11/9/2018,103430,103440,103410,103430
11/9/2018,103420,103420,103420,103420
11/9/2018,103430,103440,103400,103440
11/9/2018,103440,103440,103440,103440
11/9/2018,103400,103400,103400,103400
11/9/2018,103390,103430,103390,103390
11/9/2018,103400,103420,103390,103420
11/9/2018,103370,103380,103370,103380
11/9/2018,103420,103420,103380,103380
11/9/2018,103330,103350,103310,103350
11/9/2018,103370,103370,103290,103300
11/9/2018,103280,103280,103280,103280
11/9/2018,103250,103260,103240,103260
11/9/2018,103280,103300,103280,103300
11/9/2018,103300,103300,103300,103300
11/9/2018,103340,103340,103340,103340
11/9/2018,103320,103330,103320,103330
11/9/2018,103380,103380,103380,103380
11/9/2018,103370,103370,103370,103370
11/9/2018,103350,103350,103330,103330
11/9/2018,103390,103390,103390,103390
11/9/2018,103400,103400,103350,103350
11/9/2018,103350,103350,103350,103350
11/9/2018,103370,103380,103370,103380
11/9/2018,103360,103360,103360,103360
11/9/2018,103320,103350,103310,103350
11/9/2018,103350,103350,103350,103350
11/9/2018,103310,103310,103270,103270
11/9/2018,103250,103270,103240,103270
11/9/2018,103220,103230,103160,103190
11/9/2018,103150,103160,103040,103060
11/9/2018,103070,103160,103070,103120
11/9/2018,103140,103170,103140,103140
11/9/2018,103140,103180,103130,103170
11/9/2018,103160,103160,103080,103130
11/9/2018,103130,103150,103130,103140
11/9/2018,103180,103190,103140,103140
11/9/2018,103190,103220,103190,103220
11/9/2018,103270,103270,103260,103260
11/9/2018,103300,103300,103300,103300
11/9/2018,103290,103290,103250,103250
11/9/2018,103260,103260,103190,103190
11/9/2018,103150,103200,103100,103200
11/9/2018,103210,103210,103130,103130
11/9/2018,103140,103140,103070,103070
11/9/2018,103080,103110,103060,103110
11/9/2018,103120,103210,103120,103210
11/9/2018,103230,103230,103230,103230
11/9/2018,103250,103250,103250,103250
11/9/2018,103220,103220,103200,103200
11/9/2018,103210,103250,103210,103250
11/9/2018,103250,103250,103230,103240
11/9/2018,103240,103240,103170,103220
11/9/2018,103210,103220,103200,103220
11/9/2018,103240,103240,103240,103240
11/9/2018,103250,103250,103250,103250
11/9/2018,103250,103250,103250,103250
11/9/2018,103240,103250,103240,103250
11/9/2018,103300,103320,103300,103300
11/9/2018,103230,103230,103220,103220
11/9/2018,103270,103410,103260,103390
11/9/2018,103390,103450,103370,103440
11/9/2018,103440,103440,103420,103420
11/9/2018,103380,103400,103370,103400
11/9/2018,103390,103390,103310,103310
11/9/2018,103340,103360,103340,103360
11/9/2018,103370,103450,103370,103450
11/9/2018,103410,103420,103410,103420
11/9/2018,103490,103500,103490,103500
11/9/2018,103430,103430,103430,103430
11/9/2018,103380,103380,103370,103370
11/9/2018,103360,103360,103360,103360
11/9/2018,103340,103340,103300,103300
11/9/2018,103270,103290,103260,103260
11/9/2018,103280,103340,103280,103330
11/9/2018,103290,103290,103230,103290
11/9/2018,103310,103350,103310,103310
11/9/2018,103300,103300,103300,103300
11/9/2018,103330,103330,103330,103330
11/9/2018,103400,103450,103400,103450
11/9/2018,103410,103410,103410,103410
11/9/2018,103440,103450,103440,103440
11/9/2018,103450,103460,103450,103460
11/9/2018,103450,103460,103400,103400
11/9/2018,103420,103420,103380,103380
11/9/2018,103380,103380,103350,103350
11/9/2018,103350,103350,103340,103340
11/9/2018,103340,103350,103310,103350
11/9/2018,103330,103330,103320,103330
11/9/2018,103320,103320,103290,103290
11/9/2018,103270,103270,103270,103270
11/9/2018,103280,103330,103280,103330
11/9/2018,103360,103360,103350,103350
11/9/2018,103300,103320,103300,103320
11/9/2018,103300,103300,103290,103290
11/9/2018,103300,103320,103290,103320
11/9/2018,103310,103310,103310,103310
11/9/2018,103340,103350,103340,103350
11/9/2018,103330,103330,103330,103330
11/9/2018,103300,103300,103160,103160
11/9/2018,103170,103220,103120,103220
11/9/2018,103210,103300,103210,103300
11/9/2018,103290,103290,103290,103290
11/9/2018,103320,103320,103320,103320
11/9/2018,103320,103330,103300,103330
11/9/2018,103380,103380,103350,103350
11/9/2018,103400,103450,103400,103410
11/9/2018,103390,103390,103370,103380
11/9/2018,103410,103410,103410,103410
11/9/2018,103400,103520,103380,103440
11/9/2018,103400,103480,103400,103470
11/9/2018,103480,103480,103460,103460
11/9/2018,103450,103460,103450,103450
11/9/2018,103440,103440,103440,103440
11/9/2018,103480,103480,103470,103470
11/9/2018,103500,103650,103500,103650
11/9/2018,103650,103720,103650,103660
11/9/2018,103650,103650,103590,103590
11/9/2018,103620,103620,103570,103580
11/9/2018,103580,103580,103570,103570
11/9/2018,103560,103560,103530,103530
11/9/2018,103510,103510,103440,103500
11/9/2018,103500,103590,103500,103590
11/9/2018,103570,103570,103570,103570
11/9/2018,103600,103840,103600,103840
11/9/2018,103870,103920,103770,103780
11/9/2018,103780,103780,103760,103760
11/9/2018,103750,103750,103750,103750
11/9/2018,103760,103760,103750,103750
11/9/2018,103760,103800,103720,103790
11/9/2018,103800,103820,103780,103820
11/9/2018,103830,103830,103830,103830
11/9/2018,103800,103800,103790,103790
11/9/2018,103770,103770,103730,103730
11/9/2018,103690,103690,103690,103690
11/9/2018,103690,103760,103690,103760
11/9/2018,103800,103800,103770,103780
11/9/2018,103780,103810,103780,103810
11/9/2018,103840,103850,103800,103800
11/9/2018,103800,103800,103780,103780
11/9/2018,103800,103830,103800,103800
11/9/2018,103850,103850,103840,103840
11/9/2018,103880,103880,103860,103860
11/9/2018,103870,103870,103850,103850
11/9/2018,103890,103940,103890,103900
11/9/2018,103930,104060,103930,104030
11/9/2018,104000,104020,103980,103980
11/9/2018,104020,104020,104000,104000
11/9/2018,104050,104120,104050,104110
11/9/2018,104130,104140,104100,104100
11/9/2018,104090,104090,104060,104080
11/9/2018,104060,104060,104050,104050
11/9/2018,104040,104080,104040,104080
11/9/2018,104000,104000,104000,104000
11/9/2018,103990,104020,103990,103990
11/9/2018,103950,103950,103950,103950
11/9/2018,103950,103950,103950,103950
11/9/2018,103960,103980,103960,103980
11/9/2018,103970,103970,103900,103900
11/9/2018,103870,103990,103870,103960
11/9/2018,103920,103920,103920,103920
11/9/2018,103870,103880,103780,103800
11/9/2018,103790,103840,103790,103790
11/9/2018,103820,103820,103820,103820
11/9/2018,103810,103810,103810,103810
11/9/2018,103750,103760,103720,103760
11/9/2018,103750,103750,103750,103750
11/9/2018,103800,103830,103800,103830
11/9/2018,103900,103910,103900,103910
11/9/2018,103970,103970,103930,103930
11/9/2018,103990,104000,103990,103990
11/9/2018,104040,104050,104040,104050
11/9/2018,104090,104230,104090,104180
11/9/2018,104180,104180,104130,104130
11/9/2018,104110,104110,104100,104100
11/9/2018,104050,104050,104050,104050
11/9/2018,104150,104150,104130,104130
11/9/2018,104130,104200,104130,104170
11/9/2018,104160,104160,104160,104160
11/9/2018,104180,104180,104180,104180
11/9/2018,104180,104180,104180,104180
11/9/2018,104160,104190,104140,104140
11/9/2018,104200,104200,104190,104190
11/9/2018,104250,104270,104230,104250
11/9/2018,104270,104270,104230,104250
11/9/2018,104300,104340,104290,104330
11/9/2018,104330,104330,104260,104260
11/9/2018,104260,104270,104250,104270
11/9/2018,104200,104200,104200,104200
11/9/2018,104260,104260,104240,104240
11/9/2018,104290,104290,104290,104290
11/9/2018,104300,104300,104300,104300
11/9/2018,104300,104300,104300,104300
11/9/2018,104300,104300,104300,104300
11/9/2018,104310,104310,104290,104290
11/9/2018,104320,104320,104310,104310
11/9/2018,104340,104340,104310,104310
11/9/2018,104350,104350,104350,104350
11/9/2018,104350,104400,104350,104380
11/9/2018,104370,104370,104370,104370
11/9/2018,104330,104400,104330,104400
11/9/2018,104390,104430,104390,104410
11/9/2018,104390,104440,104390,104390
11/9/2018,104370,104370,104350,104350
11/9/2018,104360,104360,104350,104360
11/9/2018,104340,104360,104340,104360
11/9/2018,104420,104420,104420,104420
11/9/2018,104400,104400,104370,104370
11/9/2018,104370,104370,104370,104370
11/9/2018,104400,104400,104360,104360
11/9/2018,104430,104430,104400,104420
11/9/2018,104450,104450,104440,104440
11/9/2018,104380,104440,104370,104440
11/9/2018,104480,104810,104480,104660
11/9/2018,104690,104740,104670,104690
11/9/2018,104670,104670,104620,104620
11/9/2018,104620,104620,104620,104620
11/9/2018,104610,104610,104610,104610
11/9/2018,104610,104670,104600,104600
11/9/2018,104640,104640,104550,104600
11/9/2018,104600,104600,104600,104600
11/9/2018,104580,104600,104580,104600
11/9/2018,104600,104620,104600,104620
11/9/2018,104580,104580,104550,104560
11/9/2018,104590,104670,104580,104600
11/9/2018,104570,104600,104570,104600
11/9/2018,104610,104670,104610,104670
11/9/2018,104600,104600,104600,104600
11/9/2018,104570,104570,104570,104570
11/9/2018,104600,104600,104560,104560
11/9/2018,104560,104560,104560,104560
11/9/2018,104510,104550,104500,104500
11/9/2018,104500,104510,104500,104510
11/9/2018,104510,104510,104510,104510
11/9/2018,104510,104510,104510,104510
11/9/2018,104500,104500,104500,104500
11/9/2018,104520,104520,104520,104520
11/9/2018,104490,104550,104470,104550
11/9/2018,104550,104560,104550,104560
11/9/2018,104640,104700,104640,104700
11/9/2018,104700,104700,104640,104640
11/9/2018,104660,104660,104660,104660
11/9/2018,104680,104680,104680,104680
11/9/2018,104620,104620,104620,104620
11/9/2018,104610,104610,104610,104610
11/9/2018,104650,104650,104650,104650
11/9/2018,104680,104720,104680,104720
11/9/2018,104670,104670,104670,104670
11/9/2018,104650,104650,104630,104630
11/9/2018,104620,104620,104620,104620
11/9/2018,104640,104640,104640,104640
11/9/2018,104670,104670,104670,104670
11/9/2018,104640,104670,104630,104640
11/9/2018,104630,104650,104630,104650
11/9/2018,104650,104700,104650,104700
11/9/2018,104650,104650,104650,104650
11/9/2018,104640,104640,104640,104640
11/9/2018,104620,104620,104620,104620
11/9/2018,104630,104700,104630,104700
11/9/2018,104670,104670,104670,104670
11/9/2018,104640,104640,104450,104530
11/9/2018,104580,104580,104540,104540
11/9/2018,104500,104500,104370,104370
11/9/2018,104430,104500,104430,104500
11/9/2018,104490,104490,104490,104490
11/9/2018,104430,104490,104430,104460
11/9/2018,104470,104470,104470,104470
11/9/2018,104480,104480,104470,104470
11/9/2018,104480,104480,104470,104470
11/9/2018,104450,104450,104450,104450
11/9/2018,104460,104460,104460,104460
11/9/2018,104460,104460,104460,104460
11/9/2018,104470,104470,104460,104460
11/9/2018,104540,104540,104540,104540
11/9/2018,104550,104550,104550,104550
11/9/2018,104520,104520,104520,104520
11/9/2018,104480,104480,104480,104480
11/9/2018,104440,104440,104440,104440
11/9/2018,104380,104420,104370,104380
11/9/2018,104360,104360,104340,104350
11/9/2018,104360,104360,104350,104350
11/9/2018,104370,104370,104370,104370
11/9/2018,104370,104370,104370,104370
11/9/2018,104390,104420,104390,104420
11/9/2018,104450,104450,104400,104400
11/9/2018,104400,104400,104400,104400
11/9/2018,104430,104430,104430,104430
11/9/2018,104400,104400,104400,104400
11/9/2018,104420,104420,104420,104420
11/9/2018,104470,104470,104470,104470
11/9/2018,104500,104500,104500,104500
11/9/2018,104490,104490,104490,104490
11/9/2018,104530,104540,104500,104500
11/9/2018,104540,104540,104540,104540
11/9/2018,104540,104540,104540,104540
11/9/2018,104530,104570,104530,104570
11/9/2018,104580,104590,104570,104570
11/9/2018,104570,104600,104570,104600
11/9/2018,104640,104640,104590,104590
11/9/2018,104630,104630,104630,104630
11/9/2018,104630,104650,104630,104650
11/9/2018,104630,104630,104630,104630
11/9/2018,104650,104650,104650,104650
11/9/2018,104630,104630,104630,104630
11/9/2018,104610,104610,104600,104600
11/9/2018,104600,104600,104590,104590
11/9/2018,104580,104580,104580,104580
11/9/2018,104580,104580,104580,104580
11/9/2018,104590,104590,104590,104590
11/9/2018,104680,104720,104680,104720
11/9/2018,104750,104750,104740,104740
11/9/2018,104760,104760,104760,104760
11/9/2018,104750,104800,104750,104800
11/9/2018,104780,104780,104780,104780
11/9/2018,104810,104930,104810,104830
11/9/2018,104850,104850,104850,104850
11/9/2018,104850,104860,104850,104860
11/9/2018,104870,104930,104870,104900
11/9/2018,104850,104850,104850,104850
11/9/2018,104880,104880,104880,104880
11/9/2018,104880,104890,104880,104890
11/9/2018,104880,104880,104880,104880
